,id,name,unit,sourceNote,sourceOrganization,topics,source.id,source.value
0,1.0.HCount.1.90usd,Tasa de Incidencia de la Pobreza ($1.90 al día),,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2011) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
1,1.0.HCount.2.5usd,Tasa de Incidencia de la Pobreza ($2.50 al día),,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
2,1.0.HCount.Mid10to50,Tasa de Incidencia de la Clase Media ($10-50 al día),,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
3,1.0.HCount.Ofcl,Tasa Oficial de la Pobreza Moderada-Nacional,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario por debajo de la línea de pobreza desarrollada por cada país.,Tabulaciones del LAC Equity Lab de los datos de las Oficinas Nacionales de Estadística,"[{'id': '11', 'value': 'Pobreza'}]",37,
4,1.0.HCount.Poor4uds,Tasa de Incidencia de la Pobreza ($4 al día),,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
5,1.0.HCount.Vul4to10,Tasa de incidencia de población Vulnerable ($4-10 al día) ,,Tasa de Incidencia de la Pobreza mide la proporción de la población con ingreso per cápita diario (en PPA de 2005) por debajo de la línea de pobreza.,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
6,1.0.PGap.1.90usd,Brecha de Pobreza ($1.90 al día),,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
7,1.0.PGap.2.5usd,Brecha de Pobreza ($2.50 al día),,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
8,1.0.PGap.Poor4uds,Brecha de Pobreza ($4 al día),,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
9,1.0.PSev.1.90usd,Severidad de la Pobreza ($1.90 al día),,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
10,1.0.PSev.2.5usd,Severidad de la Pobreza ($2.50 al día),,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),"[{'id': '11', 'value': 'Pobreza'}]",37,
