,countryiso3code,country.value
1,ABW,Aruba
3,AFG,Afganistán
5,AGO,Angola
6,ALB,Albania
7,AND,Andorra
8,ARB,El mundo árabe
9,ARE,Emiratos Árabes Unidos
10,ARG,Argentina
11,ARM,Armenia
12,ASM,Samoa Americana
13,ATG,Antigua y Barbuda
14,AUS,Australia
15,AUT,Austria
16,AZE,Azerbaiyán
17,BDI,Burundi
18,BEL,Bélgica
19,BEN,Benin
20,BFA,Burkina Faso
21,BGD,Bangladesh
22,BGR,Bulgaria
23,BHR,Bahrein
24,BHS,Bahamas
25,BIH,Bosnia y Herzegovina
26,BLR,Belarús
27,BLZ,Belice
28,BMU,Bermudas
29,BOL,Bolivia
30,BRA,Brasil
31,BRB,Barbados
32,BRN,Brunei Darussalam
33,BTN,Bhután
34,BWA,Botswana
35,CAF,República Centroafricana
36,CAN,Canadá
37,CEB,Europa Central y del Báltico
38,CHE,Suiza
39,CHI,Islas del Canal
40,CHL,Chile
41,CHN,China
42,CIV,Côte d'Ivoire
43,CMR,Camerún
44,COD,"Congo, República Democrática del"
45,COG,"Congo, República del"
46,COL,Colombia
47,COM,Comoras
48,CPV,Cabo Verde
49,CRI,Costa Rica
50,CSS,Estados pequeos del Caribe
51,CUB,Cuba
52,CUW,Curacao
53,CYM,Islas Caimán
54,CYP,Chipre
55,CZE,República Checa
56,DEU,Alemania
57,DJI,Djibouti
58,DMA,Dominica
59,DNK,Dinamarca
60,DOM,República Dominicana
61,DZA,Argelia
62,EAP,Asia oriental y el Pacífico (excluido altos ingresos)
63,EAR,inicial del dividendo demográfico
64,EAS,Asia oriental y el Pacífico
65,ECA,Europa y Asia central (excluido altos ingresos)
66,ECS,Europa y Asia central
67,ECU,Ecuador
68,EGY,"Egipto, República Árabe de"
69,EMU,Zona del Euro
70,ERI,Eritrea
71,ESP,España
72,EST,Estonia
73,ETH,Etiopía
74,EUU,Unión Europea
75,FCS,Frágiles y situaciones de conflicto afectados
76,FIN,Finlandia
77,FJI,Fiji
78,FRA,Francia
79,FRO,Islas Feroe
80,FSM,Micronesia (Estados Federados de)
81,GAB,Gabón
82,GBR,Reino Unido
83,GEO,Georgia
84,GHA,Ghana
85,GIB,Gibraltar
86,GIN,Guinea
87,GMB,Gambia
88,GNB,Guinea-Bissau
89,GNQ,Guinea Ecuatorial
90,GRC,Grecia
91,GRD,Granada
92,GRL,Groenlandia
93,GTM,Guatemala
94,GUM,Guam
95,GUY,Guyana
96,HKG,"Hong Kong, Región Administrativa Especial"
97,HND,Honduras
98,HPC,Países pobres muy endeudados (PPME)
99,HRV,Croacia
100,HTI,Haití
101,HUN,Hungría
102,IBD,Sólo BIRF
103,IBT,BIRF y la AIF
104,IDA,total de la AIF
105,IDB,mezcla de la AIF
106,IDN,Indonesia
107,IDX,Sólo AIF
108,IMN,Isla de Man
109,IND,India
110,IRL,Irlanda
111,IRN,"Irán, República Islámica del"
112,IRQ,Iraq
113,ISL,Islandia
114,ISR,Israel
115,ITA,Italia
116,JAM,Jamaica
117,JOR,Jordania
118,JPN,Japón
119,KAZ,Kazajstán
120,KEN,Kenya
121,KGZ,Kirguistán
122,KHM,Camboya
123,KIR,Kiribati
124,KNA,Saint Kitts y Nevis
125,KOR,"Corea, República de"
126,KWT,Kuwait
